Country,Goals Scored,Goals Conceded
France,120,77
Mexico,60,98
Belgium,68,72
United States,37,62
Brazil,229,105
Yugoslavia,55,42
Peru,21,33
Romania,30,32
Argentina,137,93
Chile,40,49
Bolivia,1,20
Paraguay,30,38
Uruguay,87,74
Sweden,80,73
Austria,43,47
Germany,231,130
Spain,99,72
Czechoslovakia,44,45
Egypt,5,12
Hungary,87,57
Italy,128,77
Netherlands,86,48
Switzerland,50,64
Poland,46,45
Cuba,5,12
Dutch West Indies,0,6
Norway,7,8
England,91,64
Scotland,25,41
Turkey,20,17
South Korea,34,70
Northern Ireland,13,23
Soviet Union,53,34
Wales,4,4
Bulgaria,22,53
Colombia,32,30
North Korea,6,21
Portugal,49,35
Israel,1,3
El Salvador,1,22
Morocco,14,22
Zaire,0,14
Australia,13,31
Haiti,2,14
Tunisia,13,25
Iran,9,24
Cameroon,18,43
New Zealand,4,14
Algeria,13,19
Honduras,3,14
Kuwait,2,6
Canada,0,5
Iraq,1,4
Denmark,30,26
United Arab Emirates,2,11
Costa Rica,19,28
Republic of Ireland,10,10
Russia,24,20
Saudi Arabia,11,39
Greece,5,20
Nigeria,23,30
South Africa,11,16
Japan,20,29
Jamaica,3,9
Croatia,35,26
FR Yugoslavia,4,4
Serbia,7,17
Senegal,11,10
Slovenia,5,10
Ecuador,10,11
China PR,0,9
Ivory Coast,13,14
Trinidad and Tobago,0,4
Angola,1,2
Ghana,13,16
Czech Republic,3,4
Togo,1,6
Ukraine,5,7
Slovakia,5,7
Bosnia and Herzegovina,4,4
Iceland,2,5
Panama,2,11
